order_id,customer_name,email,product,quantity,unit_price,order_date,status,city,country,total_revenue
ORD-00054,Dawn Welch-Atkinson,foxlaura@example.net,Webcam,4,114.41,2025-07-25,completed,Alexport,UK,457.64
ORD-00055,Carole Carter,shussain@example.net,Tablet,3,824.42,2025-07-01,completed,West Joshua,UK,2473.2599999999998
ORD-00056,Dr Karl Taylor,wrighthenry@example.org,Monitor,5,726.22,2026-01-07,pending,Turnerton,UK,3631.1000000000004
ORD-00057,Tony Green,charleswilliams@example.org,Phone,1,748.82,2026-01-10,completed,Douglasburgh,UK,748.82
ORD-00058,Zoe Williams,pthompson@example.org,Keyboard,1,977.56,2025-08-19,completed,Hillshire,UK,977.56
ORD-00059,Terence Anderson,tonyharris@example.com,Monitor,4,778.86,2025-08-03,completed,Cartermouth,UK,3115.44
ORD-00060,Sian Moore-Murray,griffithscarolyn@example.org,Phone,2,471.7,2025-07-03,completed,North Glenn,UK,943.4
ORD-00061,Beth Yates,alewis@example.net,Monitor,5,893.54,2025-11-14,completed,Haywardberg,UK,4467.7
ORD-00062,Dominic Gould,samanthadavis@example.net,Keyboard,4,226.71,2025-06-10,completed,Joannaville,UK,906.84
ORD-00063,Mrs Frances Moore,derekpope@example.org,Speaker,5,163.35,2026-01-11,completed,Dianafurt,UK,816.75
ORD-00064,Debra Evans-Humphries,evansclive@example.com,Laptop,1,802.78,2025-09-07,pending,Hilarymouth,UK,802.78
ORD-00065,Francesca Clarke-Taylor,mhutchinson@example.com,Webcam,4,351.49,2025-09-08,cancelled,Charleneburgh,UK,1405.96
ORD-00066,Miss Debra Mann,michellemitchell@example.com,Charger,4,479.51,2025-09-01,completed,West Antonyshire,UK,1918.04
ORD-00067,Robin Shaw,williamsstanley@example.org,Charger,3,179.57,2026-02-06,completed,Webbfurt,UK,538.71
ORD-00068,Donald Robinson,connor46@example.com,Laptop,3,255.33,2025-10-12,pending,West Andrea,UK,765.99
ORD-00069,Elaine Jones,briggscarly@example.com,Monitor,1,845.47,2025-07-03,pending,Port Jack,UK,845.47
ORD-00070,Judith Conway,tracey54@example.net,Phone,4,422.03,2025-10-20,pending,Readtown,UK,1688.12
ORD-00071,Terry Chapman,udavis@example.org,Charger,3,474.37,2026-01-08,completed,Murrayburgh,UK,1423.1100000000001
ORD-00072,Debra Holland,zstokes@example.net,Keyboard,3,18.53,2025-04-23,cancelled,East Jasmineshire,UK,55.59
ORD-00073,Gary Metcalfe,gordon33@example.com,Speaker,4,727.89,2026-03-19,cancelled,Port Jennifer,UK,2911.56
ORD-00074,Mrs Patricia Smith,ismith@example.org,Monitor,4,592.89,2026-03-09,refunded,Williamstown,UK,2371.56
ORD-00075,Dr Geraldine Ward,ewhite@example.org,Keyboard,1,305.22,2025-11-13,completed,North Angelaport,UK,305.22
ORD-00076,Denise Rogers,allan97@example.org,Monitor,1,693.39,2025-07-07,completed,Lake Lesley,UK,693.39
ORD-00077,Norman Smith,lee30@example.net,Monitor,2,589.95,2025-11-04,cancelled,Julianfort,UK,1179.9
ORD-00078,Jodie Fisher-Sinclair,katedawson@example.net,Charger,3,703.5,2025-12-25,cancelled,Lake Brett,UK,2110.5
ORD-00079,Mr Adam Edwards,mannbilly@example.org,Headphones,2,485.75,2025-06-17,completed,North Catherineton,UK,971.5
ORD-00080,Trevor Howard-Woodward,agray@example.org,Mouse,3,632.75,2025-05-15,completed,Lake Victor,UK,1898.25
ORD-00081,Tina Murray,woodlydia@example.org,Mouse,5,421.34,2026-02-12,completed,Graceberg,UK,2106.7
ORD-00082,Hilary Bell,gdaniels@example.org,Monitor,1,907.97,2026-01-14,cancelled,East Kelly,UK,907.97
ORD-00083,Dr Abdul Rogers,jason52@example.net,Laptop,4,959.91,2026-03-24,completed,Gibsonmouth,UK,3839.64
ORD-00084,Megan Hall,hardysheila@example.org,Tablet,4,246.6,2025-10-15,completed,Raymondport,UK,986.4
ORD-00085,Mrs Katherine Kennedy,hollanddamian@example.org,Speaker,1,570.74,2026-02-20,completed,South Conor,UK,570.74
ORD-00086,Barry Stephens,ssimmons@example.org,Tablet,2,991.99,2026-01-04,completed,Sharpefort,UK,1983.98
ORD-00087,Ms Jodie Buckley,colin45@example.com,Mouse,2,456.65,2025-05-16,completed,Ianville,UK,913.3
ORD-00088,Miss Lydia Ashton,aimeeosullivan@example.net,Tablet,3,445.33,2025-09-11,cancelled,Lake Katy,UK,1335.99
ORD-00089,Adrian Spencer,dobsonguy@example.com,Laptop,5,518.3,2025-09-04,completed,Lake Mathewborough,UK,2591.5
ORD-00090,Jacqueline Thomas-Sims,shannon70@example.com,Keyboard,3,534.6,2026-02-26,completed,Port Laura,UK,1603.8000000000002
ORD-00091,Chelsea Read,neil32@example.net,Laptop,2,607.42,2025-04-30,pending,Ireneside,UK,1214.84
ORD-00092,Anne Banks,james47@example.org,Charger,4,76.73,2025-04-10,completed,Youngstad,UK,306.92
ORD-00093,Emma Ashton,smithjason@example.com,Laptop,2,976.33,2025-05-06,completed,North Deanchester,UK,1952.66
ORD-00094,Mrs Nicola White,robert26@example.com,Webcam,1,362.13,2026-02-10,completed,Port Leah,UK,362.13
ORD-00095,Mr Iain Baker,iroberts@example.org,Speaker,1,692.6,2025-04-30,completed,Thompsonfort,UK,692.6
ORD-00096,Elizabeth Richards,rachaelwebb@example.com,Mouse,4,555.39,2025-08-09,cancelled,North Jane,UK,2221.56
ORD-00097,Edward Smith,jonathan58@example.com,Headphones,3,817.8,2025-12-18,completed,Rosemaryport,UK,2453.3999999999996
ORD-00098,Dr Mohamed Robinson,smithfrederick@example.org,Headphones,5,204.97,2025-05-17,completed,South Gareth,UK,1024.85
ORD-00099,Miss Hannah Green,james36@example.org,Mouse,3,628.34,2025-08-15,completed,North Howard,UK,1885.02
ORD-00100,Miss Sarah Murphy,bradley34@example.net,Headphones,2,828.38,2026-03-26,completed,West Lindseyville,UK,1656.76
ORD-00101,Christian Walker,zphillips@example.org,Monitor,5,612.7,2026-01-22,completed,Benfort,UK,3063.5
ORD-00102,Alexander Jones,pgreen@example.org,Monitor,1,224.6,2025-08-04,completed,New Graceton,UK,224.6
ORD-00103,Jodie Hall,kathleen94@example.org,Charger,4,711.8,2025-04-22,completed,Geraldborough,UK,2847.2
ORD-00104,Natalie Brown,louise41@example.net,Phone,5,179.36,2026-01-14,completed,Lake Robin,UK,896.8000000000001
ORD-00105,Patrick May,daleferguson@example.com,Monitor,1,671.18,2026-01-20,cancelled,Pearceborough,UK,671.18
ORD-00106,Ann Clark,schofieldguy@example.org,Mouse,4,225.79,2025-07-12,completed,Claremouth,UK,903.16
ORD-00107,Dr Emma Lloyd,cdavies@example.net,Headphones,4,911.73,2025-05-09,completed,Johnstad,UK,3646.92
ORD-00108,Elizabeth Richardson,emiah@example.com,Charger,3,474.13,2025-09-21,refunded,Lake Glennborough,UK,1422.3899999999999
ORD-00109,Dr Christian Bruce,samwright@example.com,Mouse,4,435.54,2025-05-13,pending,New Kieran,UK,1742.16
ORD-00110,Danny Wells,josephinehall@example.org,Headphones,5,107.02,2025-07-19,completed,Port Christine,UK,535.1
ORD-00111,Dr Nigel Lawson,athompson@example.net,Laptop,1,818.2,2025-08-08,cancelled,Beverleymouth,UK,818.2
ORD-00112,Elliot Powell,jwilson@example.net,Monitor,2,966.62,2025-05-22,refunded,Lake Sharon,UK,1933.24
ORD-00113,Ms Jenna Barnes,reece21@example.com,Charger,2,489.18,2025-06-26,completed,Port Philip,UK,978.36
ORD-00114,Ms Beth Adams,ipugh@example.net,Headphones,5,368.05,2025-12-02,completed,Harrisonbury,UK,1840.25
ORD-00115,Melanie Kay,marc18@example.com,Keyboard,5,908.68,2025-10-09,completed,Lake Gordon,UK,4543.4
ORD-00116,Terry Chapman-Freeman,khangary@example.com,Monitor,3,197.24,2025-10-31,completed,West Jordanside,UK,591.72
ORD-00117,Mr Howard King,lindseyperkins@example.org,Speaker,3,832.65,2025-08-16,completed,Sheilatown,UK,2497.95
ORD-00118,Emma Butcher-Campbell,patriciagallagher@example.com,Webcam,1,264.68,2026-03-24,completed,Christophermouth,UK,264.68
ORD-00119,Kenneth Oliver-Turner,johnsonsylvia@example.org,Headphones,1,336.79,2026-02-09,completed,South Leon,UK,336.79
ORD-00120,Dr Amy Davison,michaelsanders@example.net,Mouse,3,496.7,2025-11-07,pending,Port Clare,UK,1490.1
ORD-00121,Denis Clarke-Taylor,wforster@example.net,Monitor,2,664.48,2026-03-16,completed,Youngton,UK,1328.96
ORD-00122,Mr Ryan Freeman,westjonathan@example.net,Headphones,5,63.33,2025-11-06,completed,Port Jakehaven,UK,316.65
ORD-00123,Georgia Griffiths-Barnett,holtgrace@example.org,Laptop,4,379.28,2026-02-15,cancelled,South Sian,UK,1517.12
ORD-00124,Teresa Buckley,ashleigh21@example.com,Laptop,1,871.26,2026-04-03,completed,Andersonside,UK,871.26
ORD-00125,Dr Gemma Roberts,jodiehudson@example.com,Tablet,2,917.78,2025-11-21,completed,Karenborough,UK,1835.56
ORD-00126,Jeffrey Wallis,singhjacqueline@example.org,Mouse,5,69.58,2026-02-26,completed,Lake Danny,UK,347.9
ORD-00127,Elaine Woodward,kerry67@example.com,Speaker,4,412.39,2026-02-10,completed,Port Claireside,UK,1649.56
ORD-00128,Patrick Smith,gjames@example.net,Speaker,4,861.99,2025-07-18,completed,Robinsonborough,UK,3447.96
ORD-00129,Henry Wright,ann92@example.net,Headphones,3,769.38,2025-07-28,completed,Clairemouth,UK,2308.14
ORD-00130,Mary Brennan,lynnclark@example.org,Mouse,5,555.57,2025-11-19,pending,Port Mathewton,UK,2777.8500000000004
ORD-00131,Ashley Humphreys,julie36@example.org,Headphones,5,164.41,2025-12-20,completed,Jasonview,UK,822.05
ORD-00132,Ben Jones,wendy33@example.net,Charger,4,525.19,2025-08-14,pending,Smithland,UK,2100.76
ORD-00133,Dr Billy Turner,johnsmith@example.com,Monitor,5,838.69,2025-08-26,completed,Grahamhaven,UK,4193.450000000001
ORD-00134,Jessica Greenwood-O'Brien,nathan72@example.org,Speaker,3,882.06,2025-05-29,completed,Carrview,UK,2646.18
ORD-00135,Dr Stephen Matthews,philipthomas@example.org,Mouse,5,93.95,2026-03-12,completed,South Adamside,UK,469.75
ORD-00136,Mohammed Jones,sophiecampbell@example.net,Charger,4,233.7,2025-09-05,pending,Chandlerfort,UK,934.8
ORD-00137,Lee Power-Jones,stuartsmith@example.net,Headphones,4,703.37,2025-10-09,completed,Jaybury,UK,2813.48
ORD-00138,Ms Leah White,payneamber@example.net,Phone,2,820.88,2025-06-28,completed,South Georgia,UK,1641.76
ORD-00139,Vincent Frost,william64@example.com,Headphones,1,837.39,2025-07-06,refunded,North Sally,UK,837.39
ORD-00140,Malcolm Woods,hopegeraldine@example.org,Tablet,1,524.22,2025-06-17,cancelled,Ericside,UK,524.22
ORD-00141,Beverley Murphy,mhart@example.com,Charger,2,720.22,2025-07-24,completed,Tinaburgh,UK,1440.44
ORD-00142,Elliott Day,lynnhart@example.org,Mouse,2,11.69,2025-10-14,completed,Cliffordstad,UK,23.38
ORD-00143,Robert Greenwood-Davies,lyndalowe@example.org,Tablet,5,50.24,2025-07-03,completed,East Marie,UK,251.20000000000002
ORD-00144,Dr Wayne Evans,hugh35@example.org,Speaker,2,411.72,2025-08-28,completed,Port Lydia,UK,823.44
ORD-00145,Mr Benjamin Graham,ryanpearson@example.org,Webcam,4,848.89,2025-08-15,cancelled,Iainberg,UK,3395.56
ORD-00146,Mr Douglas Little,mclark@example.org,Monitor,4,427.86,2025-05-26,completed,Lake Lyndatown,UK,1711.44
ORD-00147,Joanna Wood,glenwilkins@example.com,Laptop,2,734.58,2025-09-15,pending,New Lydiaberg,UK,1469.16
ORD-00148,Ian Fletcher-Evans,williamsjulian@example.org,Speaker,1,411.53,2025-09-18,completed,North Nicole,UK,411.53
ORD-00149,Andrea Swift,yrichardson@example.org,Mouse,2,937.77,2025-11-07,completed,Julianton,UK,1875.54
ORD-00150,Mrs Elaine Williams,bcox@example.com,Monitor,3,93.59,2025-12-02,completed,Nathanland,UK,280.77
ORD-00151,Clive Thompson-Williams,steeleallan@example.net,Mouse,2,334.55,2026-02-24,completed,Ricefort,UK,669.1
ORD-00152,Abigail Taylor-Moran,oliverhammond@example.net,Keyboard,3,648.25,2026-01-06,pending,Hughesview,UK,1944.75
ORD-00153,Miss Hannah Owens,mandybaker@example.com,Headphones,1,400.65,2026-02-09,completed,Houghtonshire,UK,400.65
ORD-00154,Teresa Hughes,morleypaul@example.net,Phone,1,706.0,2025-10-25,pending,North Vincentburgh,UK,706.0
ORD-00155,Louise Thompson,lynne57@example.org,Mouse,4,583.28,2025-11-12,completed,New Hugh,UK,2333.12
ORD-00156,Ruth Rahman,pricemelissa@example.org,Speaker,5,344.24,2026-03-31,pending,East Jeffrey,UK,1721.2
ORD-00157,Benjamin Thorpe,mohamed23@example.com,Webcam,4,597.93,2026-03-30,completed,Lake Thomasshire,UK,2391.72
ORD-00158,Graham Collins-Ryan,tracy24@example.com,Charger,3,216.95,2025-05-18,completed,Clarkland,UK,650.8499999999999
ORD-00159,Arthur Marshall,elliot96@example.com,Speaker,5,403.39,2026-03-21,completed,West Janetmouth,UK,2016.9499999999998
ORD-00160,Marc Ryan,crawfordkeith@example.org,Phone,4,652.1,2025-11-19,completed,New Sandraberg,UK,2608.4
ORD-00161,Ms Lynne Bailey,urobinson@example.net,Keyboard,5,502.41,2025-11-15,completed,Port Stephanieburgh,UK,2512.05
ORD-00162,Gordon Moore-Howells,pauline65@example.org,Speaker,5,642.63,2025-10-03,completed,East Denisberg,UK,3213.15
ORD-00163,Luke Benson,shayes@example.org,Speaker,2,459.9,2026-01-02,cancelled,Holtberg,UK,919.8
ORD-00164,Elaine Riley,malcolmdickinson@example.org,Charger,2,912.1,2026-01-23,completed,Wayneview,UK,1824.2
ORD-00165,Elizabeth Patel,yhobbs@example.net,Laptop,1,470.76,2026-01-26,completed,South Juliaview,UK,470.76
ORD-00166,Denis Wall,nigel62@example.net,Tablet,4,939.21,2026-03-18,pending,Lake Billy,UK,3756.84
ORD-00167,Amber Richards-Harris,garethberry@example.com,Phone,2,494.52,2025-07-07,pending,New Deborahshire,UK,989.04
ORD-00168,Lisa Evans,catherine72@example.org,Keyboard,1,447.62,2025-04-21,completed,Brownport,UK,447.62
ORD-00169,Kathryn Burgess,edwardssara@example.com,Monitor,1,299.67,2026-03-30,pending,West Bradley,UK,299.67
ORD-00170,Carole Smith,nathanwood@example.com,Charger,3,679.8,2025-05-13,completed,Angelatown,UK,2039.3999999999999
ORD-00171,Tony Freeman,callum56@example.net,Monitor,5,239.48,2025-07-12,completed,West Thomasberg,UK,1197.3999999999999
ORD-00172,Terence Watson,marcusfuller@example.net,Webcam,2,273.2,2025-07-09,completed,North Martynshire,UK,546.4
ORD-00173,Albert Roberts,irene11@example.com,Tablet,3,773.72,2026-03-19,completed,New Kyle,UK,2321.16
ORD-00174,Gary Townsend,trandall@example.net,Webcam,3,438.34,2026-01-20,completed,Nicholashaven,UK,1315.02
ORD-00175,Joe Mills,henrysmith@example.com,Mouse,1,276.45,2025-07-07,pending,West Kirsty,UK,276.45
ORD-00176,Wayne Ashton,elliotjohnson@example.net,Charger,5,512.22,2025-10-01,completed,Port Jeffrey,UK,2561.1000000000004
ORD-00177,Dr Adrian Briggs,liammellor@example.net,Speaker,3,917.03,2025-05-28,completed,Michaelshire,UK,2751.09
ORD-00178,Sophie Long,gregoryford@example.org,Laptop,5,293.97,2025-10-19,completed,Dunnberg,UK,1469.8500000000001
ORD-00179,Mrs Kirsty Little,jennifer51@example.org,Laptop,4,583.72,2025-11-07,completed,South Gracebury,UK,2334.88
ORD-00180,Miss Lynne Newton,sean64@example.com,Tablet,1,630.69,2026-04-05,completed,Jackfurt,UK,630.69
ORD-00181,Megan Nicholls,hjames@example.com,Headphones,2,235.89,2025-07-31,completed,Thomasmouth,UK,471.78
ORD-00182,Kimberley Gray,callum92@example.net,Headphones,2,161.77,2025-06-19,completed,Patelview,UK,323.54
ORD-00183,Mrs Lynda Jones,xwall@example.net,Keyboard,4,446.25,2026-02-16,cancelled,Flemingtown,UK,1785.0
ORD-00184,Mathew Ellis,duncansmith@example.net,Phone,3,245.27,2025-12-12,completed,South Peterport,UK,735.8100000000001
ORD-00185,Christopher Baldwin,nicolasimpson@example.org,Monitor,2,838.75,2025-05-16,completed,Port Claire,UK,1677.5
ORD-00186,Henry Reed-Robinson,zwilliams@example.net,Mouse,5,788.15,2026-01-18,completed,Harrisonbury,UK,3940.75
ORD-00187,Gemma Hurst,rhysharvey@example.org,Laptop,2,280.71,2026-01-18,completed,Lake Alanmouth,UK,561.42
ORD-00188,Linda Warren,goodwindeclan@example.com,Monitor,2,603.38,2025-11-12,completed,Terryberg,UK,1206.76
ORD-00189,Michael Thomson,hwright@example.net,Tablet,3,620.04,2025-04-22,completed,Paulashire,UK,1860.12
ORD-00190,Mr Bernard Goddard,nicola04@example.net,Keyboard,2,67.53,2025-11-06,pending,Lake Stacey,UK,135.06
ORD-00191,Mr Dylan Taylor,watkinsryan@example.net,Monitor,2,599.75,2025-12-17,completed,Newmanchester,UK,1199.5
ORD-00192,Frank O'Connor-Cook,thomasbryan@example.net,Keyboard,4,300.16,2025-05-27,completed,Lake Sharon,UK,1200.64
ORD-00193,Ms Gemma Fraser,maria40@example.com,Tablet,3,85.32,2025-05-01,completed,South Darren,UK,255.95999999999998
ORD-00194,Bradley Morgan-Williamson,briggsjohn@example.net,Charger,3,250.41,2025-06-07,completed,Adamtown,UK,751.23
ORD-00195,Mrs Amber Pope,murrayirene@example.org,Tablet,3,32.43,2026-02-11,completed,Lake Mariestad,UK,97.28999999999999
ORD-00196,Caroline Johnston,cameron57@example.com,Mouse,4,55.69,2025-12-18,cancelled,Timothyland,UK,222.76
ORD-00197,Frederick Chapman,ashtonalbert@example.org,Headphones,4,154.49,2025-08-10,pending,South Marianland,UK,617.96
ORD-00198,Dr Philip Thompson,webbshane@example.com,Phone,5,534.32,2025-12-18,cancelled,Suzannehaven,UK,2671.6000000000004
ORD-00199,Rosemary Payne,davisonraymond@example.net,Headphones,5,271.02,2025-12-13,completed,Waltonland,UK,1355.1
ORD-00200,Terence Cooke-Patel,jhill@example.com,Headphones,2,869.5,2025-11-22,pending,Higginsmouth,UK,1739.0
ORD-00201,Dr Dylan Walton,georgehunter@example.com,Keyboard,2,799.55,2025-08-19,cancelled,Port Ruth,UK,1599.1
ORD-00202,Paige Read,suzannewood@example.com,Monitor,3,128.98,2025-08-16,completed,Russellstad,UK,386.93999999999994
ORD-00203,Mrs Annette James,carolineday@example.net,Headphones,1,359.1,2025-04-28,completed,South Katieberg,UK,359.1
ORD-00204,Richard Martin,fitzgeraldmohamed@example.org,Phone,3,652.56,2026-01-25,completed,Peterborough,UK,1957.6799999999998
ORD-00205,Dr Leanne Thomas,uwilkinson@example.org,Monitor,4,43.78,2025-06-03,completed,South Jason,UK,175.12
ORD-00206,Sandra Griffiths,leigh23@example.net,Phone,1,835.47,2025-10-25,completed,New Benjaminmouth,UK,835.47
ORD-00207,Dr Shaun Brown,webbleanne@example.net,Charger,5,727.6,2025-05-08,completed,Parkerton,UK,3638.0
ORD-00208,Mr Phillip Holmes,noconnor@example.net,Webcam,3,581.26,2026-03-15,completed,New Terence,UK,1743.78
ORD-00209,Mr Leonard May,aabbott@example.com,Tablet,1,403.07,2026-03-06,completed,Rachelshire,UK,403.07
ORD-00210,Georgia Allen,thomasgregory@example.net,Keyboard,5,117.1,2025-05-13,completed,Lake Nicolestad,UK,585.5
ORD-00211,Miss Gail Edwards,smithdorothy@example.org,Webcam,2,466.03,2025-08-15,completed,Patriciaport,UK,932.06
ORD-00212,Owen Howard,janice85@example.org,Tablet,5,264.47,2025-12-04,completed,Khanmouth,UK,1322.3500000000001
ORD-00213,Ms Jayne George,robin50@example.org,Laptop,2,190.31,2025-04-09,completed,Suzannemouth,UK,380.62
ORD-00214,Dr Margaret Bell,gerardwest@example.org,Keyboard,4,318.85,2026-03-06,completed,New Lesleybury,UK,1275.4
ORD-00215,Joanna Hudson,dennissharp@example.net,Keyboard,2,417.3,2026-01-30,completed,Smithland,UK,834.6
ORD-00216,Jeremy Knight,max90@example.com,Speaker,4,579.12,2025-09-29,completed,West Davidfort,UK,2316.48
ORD-00217,Ashley Fitzgerald,bryanjulian@example.net,Headphones,5,266.51,2026-02-07,completed,West Michaelborough,UK,1332.55
ORD-00218,Dawn Chambers,walkeralexander@example.com,Mouse,3,839.49,2026-01-10,completed,Morganmouth,UK,2518.4700000000003
ORD-00219,Fiona Howarth,annelambert@example.com,Phone,4,594.86,2025-04-11,pending,Port Amber,UK,2379.44
ORD-00220,Jamie Wilkinson,margaretandrews@example.net,Keyboard,2,282.54,2026-01-07,pending,North Joseph,UK,565.08
ORD-00221,Liam Thornton-Williams,douglas30@example.org,Speaker,5,149.23,2025-06-12,cancelled,New Kenneth,UK,746.15
ORD-00222,Sheila Mason,hollysmith@example.com,Mouse,2,384.2,2025-08-22,completed,Victorfort,UK,768.4
